timestamp,user_id,role,department,action,patient_id,workstation,status
2025-06-02 07:00:10,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6068,WS-004,SUCCESS
2025-06-02 07:11:02,dwilson,Physician,Orthopedics,PRINT_SUMMARY,PT-6070,WS-007,SUCCESS
2025-06-02 07:13:28,rsmith,Registration Clerk,Front Desk,VIEW_MEDS,PT-6099,WS-006,SUCCESS
2025-06-02 07:13:33,agarcia,Nurse,Endocrinology,PRINT_SUMMARY,PT-6087,WS-008,SUCCESS
2025-06-02 07:20:03,tbrown,Billing Specialist,Revenue Cycle,VIEW_CHART,PT-6056,WS-011,SUCCESS
2025-06-02 07:20:09,rsmith,Registration Clerk,Front Desk,VIEW_LABS,PT-6037,WS-017,SUCCESS
2025-06-02 07:24:48,agarcia,Nurse,Endocrinology,UPDATE_VITALS,PT-6027,WS-012,SUCCESS
2025-06-02 07:30:00,agarcia,Nurse,Endocrinology,VIEW_CHART,PT-6038,WS-010,SUCCESS
2025-06-02 07:30:08,agarcia,Nurse,Endocrinology,UPDATE_VITALS,PT-6013,WS-013,SUCCESS
2025-06-02 07:31:06,dwilson,Physician,Orthopedics,VIEW_LABS,PT-6014,WS-006,SUCCESS
2025-06-02 07:32:34,agarcia,Nurse,Endocrinology,VIEW_LABS,PT-6020,WS-009,SUCCESS
2025-06-02 07:39:53,dwilson,Physician,Orthopedics,VIEW_MEDS,PT-6111,WS-017,SUCCESS
2025-06-02 07:40:54,tbrown,Billing Specialist,Revenue Cycle,VIEW_LABS,PT-6035,WS-002,SUCCESS
2025-06-02 07:42:26,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6016,WS-024,SUCCESS
2025-06-02 07:43:40,mlopez,Physician,Pulmonology,UPDATE_VITALS,PT-6082,WS-019,SUCCESS
2025-06-02 07:48:29,kpatel,Nurse,Family Medicine,VIEW_LABS,PT-6056,WS-006,SUCCESS
2025-06-02 07:49:30,jchen,Nurse,Cardiology,VIEW_CHART,PT-6034,WS-016,SUCCESS
2025-06-02 07:52:09,jchen,Nurse,Cardiology,PRINT_SUMMARY,PT-6012,WS-012,SUCCESS
2025-06-02 07:58:01,mlopez,Physician,Pulmonology,VIEW_MEDS,PT-6051,WS-018,SUCCESS
2025-06-02 07:59:44,mlopez,Physician,Pulmonology,VIEW_LABS,PT-6029,WS-022,SUCCESS
2025-06-02 08:00:31,tbrown,Billing Specialist,Revenue Cycle,UPDATE_VITALS,PT-6005,WS-006,SUCCESS
2025-06-02 08:01:52,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6008,WS-008,SUCCESS
2025-06-02 08:05:18,jchen,Nurse,Cardiology,VIEW_MEDS,PT-6007,WS-019,SUCCESS
2025-06-02 08:13:33,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6025,WS-011,SUCCESS
2025-06-02 08:14:32,kpatel,Nurse,Family Medicine,VIEW_MEDS,PT-6007,WS-007,SUCCESS
2025-06-02 08:16:31,dwilson,Physician,Orthopedics,VIEW_MEDS,PT-6084,WS-016,SUCCESS
